"id","label"
"mx.aguascalientes.aguascalientes","Aguascalientes, Aguascalientes, México"
"mx.aguascalientes.asientos","Asientos, Aguascalientes, México"
"mx.aguascalientes.calvillo","Calvillo, Aguascalientes, México"
"mx.aguascalientes.cosio","Cosío, Aguascalientes, México"
"mx.aguascalientes.jesus_maria","Jesús María, Aguascalientes, México"
"mx.aguascalientes.pabellon_de_arteaga","Pabellón de Arteaga, Aguascalientes, México"
"mx.aguascalientes.rincon_de_romos","Rincón de Romos, Aguascalientes, México"
"mx.aguascalientes.san_jose_de_gracia","San José de Gracia, Aguascalientes, México"
"mx.aguascalientes.tepezala","Tepezalá, Aguascalientes, México"
"mx.aguascalientes.el_llano","El Llano, Aguascalientes, México"
"mx.aguascalientes.san_francisco_de_los_romo","San Francisco de los Romo, Aguascalientes, México"
"mx.baja_california.ensenada","Ensenada, Baja California, México"
"mx.baja_california.mexicali","Mexicali, Baja California, México"
"mx.baja_california.tecate","Tecate, Baja California, México"
"mx.baja_california.tijuana","Tijuana, Baja California, México"
"mx.baja_california.playas_de_rosarito","Playas de Rosarito, Baja California, México"
"mx.baja_california.san_quintin","San Quintín, Baja California, México"
"mx.baja_california.san_felipe","San Felipe, Baja California, México"
"mx.baja_california_sur.comondu","Comondú, Baja California Sur, México"
"mx.baja_california_sur.mulege","Mulegé, Baja California Sur, México"
"mx.baja_california_sur.la_paz","La Paz, Baja California Sur, México"
"mx.baja_california_sur.los_cabos","Los Cabos, Baja California Sur, México"
"mx.baja_california_sur.loreto","Loreto, Baja California Sur, México"
"mx.campeche.calkini","Calkiní, Campeche, México"
"mx.campeche.campeche","Campeche, Campeche, México"
"mx.campeche.carmen","Carmen, Campeche, México"
"mx.campeche.champoton","Champotón, Campeche, México"
"mx.campeche.hecelchakan","Hecelchakán, Campeche, México"
"mx.campeche.hopelchen","Hopelchén, Campeche, México"
"mx.campeche.palizada","Palizada, Campeche, México"
"mx.campeche.tenabo","Tenabo, Campeche, México"
"mx.campeche.escarcega","Escárcega, Campeche, México"
"mx.campeche.calakmul","Calakmul, Campeche, México"
"mx.campeche.candelaria","Candelaria, Campeche, México"
"mx.campeche.seybaplaya","Seybaplaya, Campeche, México"
"mx.campeche.dzitbalche","Dzitbalché, Campeche, México"
"mx.coahuila_de_zaragoza.abasolo","Abasolo, Coahuila de Zaragoza, México"
"mx.coahuila_de_zaragoza.acuna","Acuña, Coahuila de Zaragoza, México"
"mx.coahuila_de_zaragoza.allende","Allende, Coahuila de Zaragoza, México"
"mx.coahuila_de_zaragoza.arteaga","Arteaga, Coahuila de Zaragoza, México"
"mx.coahuila_de_zaragoza.candela","Candela, Coahuila de Zaragoza, México"
"mx.coahuila_de_zaragoza.castanos","Castaños, Coahuila de Zaragoza, México"
"mx.coahuila_de_zaragoza.cuatro_cienegas","Cuatro Ciénegas, Coahuila de Zaragoza, México"
"mx.coahuila_de_zaragoza.escobedo","Escobedo, Coahuila de Zaragoza, México"
"mx.coahuila_de_zaragoza.francisco_i_madero","Francisco I. Madero, Coahuila de Zaragoza, México"
"mx.coahuila_de_zaragoza.frontera","Frontera, Coahuila de Zaragoza, México"
"mx.coahuila_de_zaragoza.general_cepeda","General Cepeda, Coahuila de Zaragoza, México"
"mx.coahuila_de_zaragoza.guerrero","Guerrero, Coahuila de Zaragoza, México"
"mx.coahuila_de_zaragoza.hidalgo","Hidalgo, Coahuila de Zaragoza, México"
"mx.coahuila_de_zaragoza.jimenez","Jiménez, Coahuila de Zaragoza, México"
"mx.coahuila_de_zaragoza.juarez","Juárez, Coahuila de Zaragoza, México"
"mx.coahuila_de_zaragoza.lamadrid","Lamadrid, Coahuila de Zaragoza, México"
"mx.coahuila_de_zaragoza.matamoros","Matamoros, Coahuila de Zaragoza, México"
"mx.coahuila_de_zaragoza.monclova","Monclova, Coahuila de Zaragoza, México"
"mx.coahuila_de_zaragoza.morelos","Morelos, Coahuila de Zaragoza, México"
"mx.coahuila_de_zaragoza.muzquiz","Múzquiz, Coahuila de Zaragoza, México"
"mx.coahuila_de_zaragoza.nadadores","Nadadores, Coahuila de Zaragoza, México"
"mx.coahuila_de_zaragoza.nava","Nava, Coahuila de Zaragoza, México"
"mx.coahuila_de_zaragoza.ocampo","Ocampo, Coahuila de Zaragoza, México"
"mx.coahuila_de_zaragoza.parras","Parras, Coahuila de Zaragoza, México"
"mx.coahuila_de_zaragoza.piedras_negras","Piedras Negras, Coahuila de Zaragoza, México"
"mx.coahuila_de_zaragoza.progreso","Progreso, Coahuila de Zaragoza, México"
"mx.coahuila_de_zaragoza.ramos_arizpe","Ramos Arizpe, Coahuila de Zaragoza, México"
"mx.coahuila_de_zaragoza.sabinas","Sabinas, Coahuila de Zaragoza, México"
"mx.coahuila_de_zaragoza.sacramento","Sacramento, Coahuila de Zaragoza, México"
"mx.coahuila_de_zaragoza.saltillo","Saltillo, Coahuila de Zaragoza, México"
"mx.coahuila_de_zaragoza.san_buenaventura","San Buenaventura, Coahuila de Zaragoza, México"
"mx.coahuila_de_zaragoza.san_juan_de_sabinas","San Juan de Sabinas, Coahuila de Zaragoza, México"
"mx.coahuila_de_zaragoza.san_pedro","San Pedro, Coahuila de Zaragoza, México"
"mx.coahuila_de_zaragoza.sierra_mojada","Sierra Mojada, Coahuila de Zaragoza, México"
"mx.coahuila_de_zaragoza.torreon","Torreón, Coahuila de Zaragoza, México"
"mx.coahuila_de_zaragoza.viesca","Viesca, Coahuila de Zaragoza, México"
"mx.coahuila_de_zaragoza.villa_union","Villa Unión, Coahuila de Zaragoza, México"
"mx.coahuila_de_zaragoza.zaragoza","Zaragoza, Coahuila de Zaragoza, México"
"mx.colima.armeria","Armería, Colima, México"
"mx.colima.colima","Colima, Colima, México"
"mx.colima.comala","Comala, Colima, México"
"mx.colima.coquimatlan","Coquimatlán, Colima, México"
"mx.colima.cuauhtemoc","Cuauhtémoc, Colima, México"
"mx.colima.ixtlahuacan","Ixtlahuacán, Colima, México"
"mx.colima.manzanillo","Manzanillo, Colima, México"
"mx.colima.minatitlan","Minatitlán, Colima, México"
"mx.colima.tecoman","Tecomán, Colima, México"
"mx.colima.villa_de_alvarez","Villa de Álvarez, Colima, México"
"mx.chiapas.acacoyagua","Acacoyagua, Chiapas, México"
"mx.chiapas.acala","Acala, Chiapas, México"
"mx.chiapas.acapetahua","Acapetahua, Chiapas, México"
"mx.chiapas.altamirano","Altamirano, Chiapas, México"
"mx.chiapas.amatan","Amatán, Chiapas, México"
"mx.chiapas.amatenango_de_la_frontera","Amatenango de la Frontera, Chiapas, México"
"mx.chiapas.amatenango_del_valle","Amatenango del Valle, Chiapas, México"
"mx.chiapas.angel_albino_corzo","Ángel Albino Corzo, Chiapas, México"
"mx.chiapas.arriaga","Arriaga, Chiapas, México"
"mx.chiapas.bejucal_de_ocampo","Bejucal de Ocampo, Chiapas, México"
"mx.chiapas.bella_vista","Bella Vista, Chiapas, México"
"mx.chiapas.berriozabal","Berriozábal, Chiapas, México"
"mx.chiapas.bochil","Bochil, Chiapas, México"
"mx.chiapas.el_bosque","El Bosque, Chiapas, México"
"mx.chiapas.cacahoatan","Cacahoatán, Chiapas, México"
"mx.chiapas.catazaja","Catazajá, Chiapas, México"
"mx.chiapas.cintalapa_de_figueroa","Cintalapa de Figueroa, Chiapas, México"
"mx.chiapas.coapilla","Coapilla, Chiapas, México"
"mx.chiapas.comitan_de_dominguez","Comitán de Domínguez, Chiapas, México"
"mx.chiapas.la_concordia","La Concordia, Chiapas, México"
"mx.chiapas.copainala","Copainalá, Chiapas, México"
"mx.chiapas.chalchihuitan","Chalchihuitán, Chiapas, México"
"mx.chiapas.chamula","Chamula, Chiapas, México"
"mx.chiapas.chanal","Chanal, Chiapas, México"
"mx.chiapas.chapultenango","Chapultenango, Chiapas, México"
"mx.chiapas.chenalho","Chenalhó, Chiapas, México"
"mx.chiapas.chiapa_de_corzo","Chiapa de Corzo, Chiapas, México"
"mx.chiapas.chiapilla","Chiapilla, Chiapas, México"
"mx.chiapas.chicoasen","Chicoasén, Chiapas, México"
"mx.chiapas.chicomuselo","Chicomuselo, Chiapas, México"
"mx.chiapas.chilon","Chilón, Chiapas, México"
"mx.chiapas.escuintla","Escuintla, Chiapas, México"
"mx.chiapas.francisco_leon","Francisco León, Chiapas, México"
"mx.chiapas.frontera_comalapa","Frontera Comalapa, Chiapas, México"
"mx.chiapas.frontera_hidalgo","Frontera Hidalgo, Chiapas, México"
"mx.chiapas.la_grandeza","La Grandeza, Chiapas, México"
"mx.chiapas.huehuetan","Huehuetán, Chiapas, México"
"mx.chiapas.huixtan","Huixtán, Chiapas, México"
"mx.chiapas.huitiupan","Huitiupán, Chiapas, México"
"mx.chiapas.huixtla","Huixtla, Chiapas, México"
"mx.chiapas.la_independencia","La Independencia, Chiapas, México"
"mx.chiapas.ixhuatan","Ixhuatán, Chiapas, México"
"mx.chiapas.ixtacomitan","Ixtacomitán, Chiapas, México"
"mx.chiapas.ixtapa","Ixtapa, Chiapas, México"
"mx.chiapas.ixtapangajoya","Ixtapangajoya, Chiapas, México"
"mx.chiapas.jiquipilas","Jiquipilas, Chiapas, México"
"mx.chiapas.jitotol","Jitotol, Chiapas, México"
"mx.chiapas.juarez","Juárez, Chiapas, México"
"mx.chiapas.larrainzar","Larráinzar, Chiapas, México"
"mx.chiapas.la_libertad","La Libertad, Chiapas, México"
"mx.chiapas.mapastepec","Mapastepec, Chiapas, México"
"mx.chiapas.las_margaritas","Las Margaritas, Chiapas, México"
"mx.chiapas.mazapa_de_madero","Mazapa de Madero, Chiapas, México"
"mx.chiapas.mazatan","Mazatán, Chiapas, México"
"mx.chiapas.metapa","Metapa, Chiapas, México"
"mx.chiapas.mitontic","Mitontic, Chiapas, México"
"mx.chiapas.motozintla","Motozintla, Chiapas, México"
"mx.chiapas.nicolas_ruiz","Nicolás Ruíz, Chiapas, México"
"mx.chiapas.ocosingo","Ocosingo, Chiapas, México"
"mx.chiapas.ocotepec","Ocotepec, Chiapas, México"
"mx.chiapas.ocozocoautla_de_espinosa","Ocozocoautla de Espinosa, Chiapas, México"
"mx.chiapas.ostuacan","Ostuacán, Chiapas, México"
"mx.chiapas.osumacinta","Osumacinta, Chiapas, México"
"mx.chiapas.oxchuc","Oxchuc, Chiapas, México"
"mx.chiapas.palenque","Palenque, Chiapas, México"
"mx.chiapas.pantelho","Pantelhó, Chiapas, México"
"mx.chiapas.pantepec","Pantepec, Chiapas, México"
"mx.chiapas.pichucalco","Pichucalco, Chiapas, México"
"mx.chiapas.pijijiapan","Pijijiapan, Chiapas, México"
"mx.chiapas.el_porvenir","El Porvenir, Chiapas, México"
"mx.chiapas.villa_comaltitlan","Villa Comaltitlán, Chiapas, México"
"mx.chiapas.pueblo_nuevo_solistahuacan","Pueblo Nuevo Solistahuacán, Chiapas, México"
"mx.chiapas.rayon","Rayón, Chiapas, México"
"mx.chiapas.reforma","Reforma, Chiapas, México"
"mx.chiapas.las_rosas","Las Rosas, Chiapas, México"
"mx.chiapas.sabanilla","Sabanilla, Chiapas, México"
"mx.chiapas.salto_de_agua","Salto de Agua, Chiapas, México"
"mx.chiapas.san_cristobal_de_las_casas","San Cristóbal de las Casas, Chiapas, México"
"mx.chiapas.san_fernando","San Fernando, Chiapas, México"
"mx.chiapas.siltepec","Siltepec, Chiapas, México"
"mx.chiapas.simojovel","Simojovel, Chiapas, México"
"mx.chiapas.sitala","Sitalá, Chiapas, México"
"mx.chiapas.socoltenango","Socoltenango, Chiapas, México"
"mx.chiapas.solosuchiapa","Solosuchiapa, Chiapas, México"
"mx.chiapas.soyalo","Soyaló, Chiapas, México"
"mx.chiapas.suchiapa","Suchiapa, Chiapas, México"
"mx.chiapas.suchiate","Suchiate, Chiapas, México"
"mx.chiapas.sunuapa","Sunuapa, Chiapas, México"
"mx.chiapas.tapachula","Tapachula, Chiapas, México"
"mx.chiapas.tapalapa","Tapalapa, Chiapas, México"
"mx.chiapas.tapilula","Tapilula, Chiapas, México"
"mx.chiapas.tecpatan","Tecpatán, Chiapas, México"
"mx.chiapas.tenejapa","Tenejapa, Chiapas, México"
"mx.chiapas.teopisca","Teopisca, Chiapas, México"
"mx.chiapas.tila","Tila, Chiapas, México"
"mx.chiapas.tonala","Tonalá, Chiapas, México"
"mx.chiapas.totolapa","Totolapa, Chiapas, México"
"mx.chiapas.la_trinitaria","La Trinitaria, Chiapas, México"
"mx.chiapas.tumbala","Tumbalá, Chiapas, México"
"mx.chiapas.tuxtla_gutierrez","Tuxtla Gutiérrez, Chiapas, México"
"mx.chiapas.tuxtla_chico","Tuxtla Chico, Chiapas, México"
"mx.chiapas.tuzantan","Tuzantán, Chiapas, México"
"mx.chiapas.tzimol","Tzimol, Chiapas, México"
"mx.chiapas.union_juarez","Unión Juárez, Chiapas, México"
"mx.chiapas.venustiano_carranza","Venustiano Carranza, Chiapas, México"
"mx.chiapas.villa_corzo","Villa Corzo, Chiapas, México"
"mx.chiapas.villaflores","Villaflores, Chiapas, México"
"mx.chiapas.yajalon","Yajalón, Chiapas, México"
"mx.chiapas.san_lucas","San Lucas, Chiapas, México"
"mx.chiapas.zinacantan","Zinacantán, Chiapas, México"
"mx.chiapas.san_juan_cancuc","San Juan Cancuc, Chiapas, México"
"mx.chiapas.aldama","Aldama, Chiapas, México"
"mx.chiapas.benemerito_de_las_americas","Benemérito de las Américas, Chiapas, México"
"mx.chiapas.maravilla_tenejapa","Maravilla Tenejapa, Chiapas, México"
"mx.chiapas.marques_de_comillas","Marqués de Comillas, Chiapas, México"
"mx.chiapas.montecristo_de_guerrero","Montecristo de Guerrero, Chiapas, México"
"mx.chiapas.san_andres_duraznal","San Andrés Duraznal, Chiapas, México"
"mx.chiapas.santiago_el_pinar","Santiago el Pinar, Chiapas, México"
"mx.chiapas.capitan_luis_angel_vidal","Capitán Luis Ángel Vidal, Chiapas, México"
"mx.chiapas.rincon_chamula_san_pedro","Rincón Chamula San Pedro, Chiapas, México"
"mx.chiapas.el_parral","El Parral, Chiapas, México"
"mx.chiapas.emiliano_zapata","Emiliano Zapata, Chiapas, México"
"mx.chiapas.mezcalapa","Mezcalapa, Chiapas, México"
"mx.chiapas.honduras_de_la_sierra","Honduras de la Sierra, Chiapas, México"
"mx.chihuahua.ahumada","Ahumada, Chihuahua, México"
"mx.chihuahua.aldama","Aldama, Chihuahua, México"
"mx.chihuahua.allende","Allende, Chihuahua, México"
"mx.chihuahua.aquiles_serdan","Aquiles Serdán, Chihuahua, México"
"mx.chihuahua.ascension","Ascensión, Chihuahua, México"
"mx.chihuahua.bachiniva","Bachíniva, Chihuahua, México"
"mx.chihuahua.balleza","Balleza, Chihuahua, México"
"mx.chihuahua.batopilas_de_manuel_gomez_morin","Batopilas de Manuel Gómez Morín, Chihuahua, México"
"mx.chihuahua.bocoyna","Bocoyna, Chihuahua, México"
"mx.chihuahua.buenaventura","Buenaventura, Chihuahua, México"
"mx.chihuahua.camargo","Camargo, Chihuahua, México"
"mx.chihuahua.carichi","Carichí, Chihuahua, México"
"mx.chihuahua.casas_grandes","Casas Grandes, Chihuahua, México"
"mx.chihuahua.coronado","Coronado, Chihuahua, México"
"mx.chihuahua.coyame_del_sotol","Coyame del Sotol, Chihuahua, México"
"mx.chihuahua.la_cruz","La Cruz, Chihuahua, México"
"mx.chihuahua.cuauhtemoc","Cuauhtémoc, Chihuahua, México"
"mx.chihuahua.cusihuiriachi","Cusihuiriachi, Chihuahua, México"
"mx.chihuahua.chihuahua","Chihuahua, Chihuahua, México"
"mx.chihuahua.chinipas","Chínipas, Chihuahua, México"
"mx.chihuahua.delicias","Delicias, Chihuahua, México"
"mx.chihuahua.dr_belisario_dominguez","Dr. Belisario Domínguez, Chihuahua, México"
"mx.chihuahua.galeana","Galeana, Chihuahua, México"
"mx.chihuahua.santa_isabel","Santa Isabel, Chihuahua, México"
"mx.chihuahua.gomez_farias","Gómez Farías, Chihuahua, México"
"mx.chihuahua.gran_morelos","Gran Morelos, Chihuahua, México"
"mx.chihuahua.guachochi","Guachochi, Chihuahua, México"
"mx.chihuahua.guadalupe","Guadalupe, Chihuahua, México"
"mx.chihuahua.guadalupe_y_calvo","Guadalupe y Calvo, Chihuahua, México"
"mx.chihuahua.guazapares","Guazapares, Chihuahua, México"
"mx.chihuahua.guerrero","Guerrero, Chihuahua, México"
"mx.chihuahua.hidalgo_del_parral","Hidalgo del Parral, Chihuahua, México"
"mx.chihuahua.huejotitan","Huejotitán, Chihuahua, México"
"mx.chihuahua.ignacio_zaragoza","Ignacio Zaragoza, Chihuahua, México"
"mx.chihuahua.janos","Janos, Chihuahua, México"
"mx.chihuahua.jimenez","Jiménez, Chihuahua, México"
"mx.chihuahua.juarez","Juárez, Chihuahua, México"
"mx.chihuahua.julimes","Julimes, Chihuahua, México"
"mx.chihuahua.lopez","López, Chihuahua, México"
"mx.chihuahua.madera","Madera, Chihuahua, México"
"mx.chihuahua.maguarichi","Maguarichi, Chihuahua, México"
"mx.chihuahua.manuel_benavides","Manuel Benavides, Chihuahua, México"
"mx.chihuahua.matachi","Matachí, Chihuahua, México"
"mx.chihuahua.matamoros","Matamoros, Chihuahua, México"
"mx.chihuahua.meoqui","Meoqui, Chihuahua, México"
"mx.chihuahua.morelos","Morelos, Chihuahua, México"
"mx.chihuahua.moris","Moris, Chihuahua, México"
"mx.chihuahua.namiquipa","Namiquipa, Chihuahua, México"
"mx.chihuahua.nonoava","Nonoava, Chihuahua, México"
"mx.chihuahua.nuevo_casas_grandes","Nuevo Casas Grandes, Chihuahua, México"
"mx.chihuahua.ocampo","Ocampo, Chihuahua, México"
"mx.chihuahua.ojinaga","Ojinaga, Chihuahua, México"
"mx.chihuahua.praxedis_g_guerrero","Praxedis G. Guerrero, Chihuahua, México"
"mx.chihuahua.riva_palacio","Riva Palacio, Chihuahua, México"
"mx.chihuahua.rosales","Rosales, Chihuahua, México"
"mx.chihuahua.valle_del_rosario","Valle del Rosario, Chihuahua, México"
"mx.chihuahua.san_francisco_de_borja","San Francisco de Borja, Chihuahua, México"
"mx.chihuahua.san_francisco_de_conchos","San Francisco de Conchos, Chihuahua, México"
"mx.chihuahua.san_francisco_del_oro","San Francisco del Oro, Chihuahua, México"
"mx.chihuahua.santa_barbara","Santa Bárbara, Chihuahua, México"
"mx.chihuahua.satevo","Satevó, Chihuahua, México"
"mx.chihuahua.saucillo","Saucillo, Chihuahua, México"
"mx.chihuahua.temosachic","Temósachic, Chihuahua, México"
"mx.chihuahua.el_tule","El Tule, Chihuahua, México"
"mx.chihuahua.urique","Urique, Chihuahua, México"
"mx.chihuahua.uruachi","Uruachi, Chihuahua, México"
"mx.chihuahua.valle_de_zaragoza","Valle de Zaragoza, Chihuahua, México"
"mx.ciudad_de_mexico.azcapotzalco","Azcapotzalco, Ciudad de México, México"
"mx.ciudad_de_mexico.coyoacan","Coyoacán, Ciudad de México, México"
"mx.ciudad_de_mexico.cuajimalpa_de_morelos","Cuajimalpa de Morelos, Ciudad de México, México"
"mx.ciudad_de_mexico.gustavo_a_madero","Gustavo A. Madero, Ciudad de México, México"
"mx.ciudad_de_mexico.iztacalco","Iztacalco, Ciudad de México, México"
"mx.ciudad_de_mexico.iztapalapa","Iztapalapa, Ciudad de México, México"
"mx.ciudad_de_mexico.la_magdalena_contreras","La Magdalena Contreras, Ciudad de México, México"
"mx.ciudad_de_mexico.milpa_alta","Milpa Alta, Ciudad de México, México"
"mx.ciudad_de_mexico.alvaro_obregon","Álvaro Obregón, Ciudad de México, México"
"mx.ciudad_de_mexico.tlahuac","Tláhuac, Ciudad de México, México"
"mx.ciudad_de_mexico.tlalpan","Tlalpan, Ciudad de México, México"
"mx.ciudad_de_mexico.xochimilco","Xochimilco, Ciudad de México, México"
"mx.ciudad_de_mexico.benito_juarez","Benito Juárez, Ciudad de México, México"
"mx.ciudad_de_mexico.cuauhtemoc","Cuauhtémoc, Ciudad de México, México"
"mx.ciudad_de_mexico.miguel_hidalgo","Miguel Hidalgo, Ciudad de México, México"
"mx.ciudad_de_mexico.venustiano_carranza","Venustiano Carranza, Ciudad de México, México"
"mx.durango.canatlan","Canatlán, Durango, México"
"mx.durango.canelas","Canelas, Durango, México"
"mx.durango.coneto_de_comonfort","Coneto de Comonfort, Durango, México"
"mx.durango.cuencame","Cuencamé, Durango, México"
"mx.durango.durango","Durango, Durango, México"
"mx.durango.general_simon_bolivar","General Simón Bolívar, Durango, México"
"mx.durango.gomez_palacio","Gómez Palacio, Durango, México"
"mx.durango.guadalupe_victoria","Guadalupe Victoria, Durango, México"
"mx.durango.guanacevi","Guanaceví, Durango, México"
"mx.durango.hidalgo","Hidalgo, Durango, México"
"mx.durango.inde","Indé, Durango, México"
"mx.durango.lerdo","Lerdo, Durango, México"
"mx.durango.mapimi","Mapimí, Durango, México"
"mx.durango.mezquital","Mezquital, Durango, México"
"mx.durango.nazas","Nazas, Durango, México"
"mx.durango.nombre_de_dios","Nombre de Dios, Durango, México"
"mx.durango.ocampo","Ocampo, Durango, México"
"mx.durango.el_oro","El Oro, Durango, México"
"mx.durango.otaez","Otáez, Durango, México"
"mx.durango.panuco_de_coronado","Pánuco de Coronado, Durango, México"
"mx.durango.penon_blanco","Peñón Blanco, Durango, México"
"mx.durango.poanas","Poanas, Durango, México"
"mx.durango.pueblo_nuevo","Pueblo Nuevo, Durango, México"
"mx.durango.rodeo","Rodeo, Durango, México"
"mx.durango.san_bernardo","San Bernardo, Durango, México"
"mx.durango.san_dimas","San Dimas, Durango, México"
"mx.durango.san_juan_de_guadalupe","San Juan de Guadalupe, Durango, México"
"mx.durango.san_juan_del_rio","San Juan del Río, Durango, México"
"mx.durango.san_luis_del_cordero","San Luis del Cordero, Durango, México"
"mx.durango.san_pedro_del_gallo","San Pedro del Gallo, Durango, México"
"mx.durango.santa_clara","Santa Clara, Durango, México"
"mx.durango.santiago_papasquiaro","Santiago Papasquiaro, Durango, México"
"mx.durango.suchil","Súchil, Durango, México"
"mx.durango.tamazula","Tamazula, Durango, México"
"mx.durango.tepehuanes","Tepehuanes, Durango, México"
"mx.durango.tlahualilo","Tlahualilo, Durango, México"
"mx.durango.topia","Topia, Durango, México"
"mx.durango.vicente_guerrero","Vicente Guerrero, Durango, México"
"mx.durango.nuevo_ideal","Nuevo Ideal, Durango, México"
"mx.guanajuato.abasolo","Abasolo, Guanajuato, México"
"mx.guanajuato.acambaro","Acámbaro, Guanajuato, México"
"mx.guanajuato.san_miguel_de_allende","San Miguel de Allende, Guanajuato, México"
"mx.guanajuato.apaseo_el_alto","Apaseo el Alto, Guanajuato, México"
"mx.guanajuato.apaseo_el_grande","Apaseo el Grande, Guanajuato, México"
"mx.guanajuato.atarjea","Atarjea, Guanajuato, México"
"mx.guanajuato.celaya","Celaya, Guanajuato, México"
"mx.guanajuato.manuel_doblado","Manuel Doblado, Guanajuato, México"
"mx.guanajuato.comonfort","Comonfort, Guanajuato, México"
"mx.guanajuato.coroneo","Coroneo, Guanajuato, México"
"mx.guanajuato.cortazar","Cortazar, Guanajuato, México"
"mx.guanajuato.cueramaro","Cuerámaro, Guanajuato, México"
"mx.guanajuato.doctor_mora","Doctor Mora, Guanajuato, México"
"mx.guanajuato.dolores_hidalgo_cuna_de_la_independencia_nacional","Dolores Hidalgo Cuna de la Independencia Nacional, Guanajuato, México"
"mx.guanajuato.guanajuato","Guanajuato, Guanajuato, México"
"mx.guanajuato.huanimaro","Huanímaro, Guanajuato, México"
"mx.guanajuato.irapuato","Irapuato, Guanajuato, México"
"mx.guanajuato.jaral_del_progreso","Jaral del Progreso, Guanajuato, México"
"mx.guanajuato.jerecuaro","Jerécuaro, Guanajuato, México"
"mx.guanajuato.leon","León, Guanajuato, México"
"mx.guanajuato.moroleon","Moroleón, Guanajuato, México"
"mx.guanajuato.ocampo","Ocampo, Guanajuato, México"
"mx.guanajuato.penjamo","Pénjamo, Guanajuato, México"
"mx.guanajuato.pueblo_nuevo","Pueblo Nuevo, Guanajuato, México"
"mx.guanajuato.purisima_del_rincon","Purísima del Rincón, Guanajuato, México"
"mx.guanajuato.romita","Romita, Guanajuato, México"
"mx.guanajuato.salamanca","Salamanca, Guanajuato, México"
"mx.guanajuato.salvatierra","Salvatierra, Guanajuato, México"
"mx.guanajuato.san_diego_de_la_union","San Diego de la Unión, Guanajuato, México"
"mx.guanajuato.san_felipe","San Felipe, Guanajuato, México"
"mx.guanajuato.san_francisco_del_rincon","San Francisco del Rincón, Guanajuato, México"
"mx.guanajuato.san_jose_de_iturbide","San José de Iturbide, Guanajuato, México"
"mx.guanajuato.san_luis_de_la_paz","San Luis de la Paz, Guanajuato, México"
"mx.guanajuato.santa_catarina","Santa Catarina, Guanajuato, México"
"mx.guanajuato.santa_cruz_de_juventino_rosas","Santa Cruz de Juventino Rosas, Guanajuato, México"
"mx.guanajuato.santiago_maravatio","Santiago Maravatío, Guanajuato, México"
"mx.guanajuato.silao_de_la_victoria","Silao de la Victoria, Guanajuato, México"
"mx.guanajuato.tarandacuao","Tarandacuao, Guanajuato, México"
"mx.guanajuato.tarimoro","Tarimoro, Guanajuato, México"
